"Name","Self Time","Self Time (CPU)","Total Time","Total Time (CPU)","Invocations"
"java.util.zip.Inflater.inflate (byte[], int, int)","1.36 ms (0%)","1.35 ms (0.1%)","1.41 ms (0%)","1.40 ms (0%)","114"
"java.lang.StringBuilder.append (String)","1.34 ms (0%)","1.34 ms (0.1%)","13.5 ms (0.1%)","12.7 ms (0.2%)","2,088"
"java.net.URLStreamHandler.setURL (java.net.URL, String, String, int, String, String, String, String, String)","1.37 ms (0%)","1.33 ms (0.1%)","15.3 ms (0.1%)","12.3 ms (0.2%)","2,200"
"java.time.LocalDateTime.plusWithOverflow (java.time.LocalDate, long, long, long, long, int)","1.30 ms (0%)","1.28 ms (0.1%)","3.48 ms (0%)","3.42 ms (0%)","238"
"java.lang.StringConcatHelper.mix (long, String)","1.40 ms (0%)","1.28 ms (0.1%)","2.90 ms (0%)","2.67 ms (0%)","2,478"
"java.lang.Character.isLetterOrDigit (int)","1.35 ms (0%)","1.27 ms (0.1%)","7.18 ms (0%)","5.81 ms (0.1%)","5,615"
"java.lang.AbstractStringBuilder.inflateIfNeededFor (String)","1.43 ms (0%)","1.27 ms (0.1%)","2.4 ms (0%)","1.81 ms (0%)","2,088"
"java.lang.StringLatin1.hashCode (byte[])","1.25 ms (0%)","1.26 ms (0.1%)","1.25 ms (0%)","1.26 ms (0%)","5,020"
"org.springframework.samples.petclinic.vet.Vet.getSpecialties ()","291 ms (7.5%)","1.26 ms (0.1%)","321 ms (2%)","29.3 ms (0.4%)","10"
"java.lang.StringLatin1.indexOfChar (byte[], int, int, int)","1.25 ms (0%)","1.25 ms (0.1%)","1.25 ms (0%)","1.25 ms (0%)","5,459"
"java.lang.String.toLowerCase (java.util.Locale)","1.29 ms (0%)","1.24 ms (0.1%)","28.9 ms (0.2%)","6.38 ms (0.1%)","2,450"
"java.util.IdentityHashMap.maskNull (Object)","1.23 ms (0%)","1.20 ms (0.1%)","1.23 ms (0%)","1.20 ms (0%)","2,471"
"java.lang.Throwable.fillInStackTrace ()","1.21 ms (0%)","1.19 ms (0.1%)","1.21 ms (0%)","1.19 ms (0%)","52"
"java.lang.Class.getClassLoader ()","1.25 ms (0%)","1.19 ms (0.1%)","2.60 ms (0%)","2.57 ms (0%)","3,713"
"org.springframework.samples.petclinic.owner.OwnerController.processFindForm (int, org.springframework.samples.petclinic.owner.Owner, org.springframework.validation.BindingResult, org.springframework.ui.Model)","1.52 ms (0%)","1.15 ms (0.1%)","948 ms (5.9%)","185 ms (2.7%)","5"
"jdk.internal.util.Preconditions.checkFromToIndex (int, int, int, java.util.function.BiFunction)","1.18 ms (0%)","1.13 ms (0.1%)","1.18 ms (0%)","1.13 ms (0%)","8,159"
"java.util.concurrent.ConcurrentLinkedQueue.offer (Object)","1.23 ms (0%)","1.12 ms (0.1%)","1.61 ms (0%)","1.50 ms (0%)","113"
"java.util.concurrent.ConcurrentHashMap.putVal (Object, Object, boolean)","1.12 ms (0%)","1.7 ms (0.1%)","24.4 ms (0.2%)","2.33 ms (0%)","383"
"java.util.HashMap$KeySet.iterator ()","0.995 ms (0%)","1.6 ms (0.1%)","0.995 ms (0%)","1.6 ms (0%)","2,516"
"java.lang.String.regionMatches (int, String, int, int)","1.13 ms (0%)","1.4 ms (0.1%)","2.33 ms (0%)","2.16 ms (0%)","1,078"
"java.lang.ClassLoader.loadClass (String)","1.71 ms (0%)","1.1 ms (0.1%)","653 ms (4.1%)","358 ms (5.1%)","48"
"java.lang.StringLatin1.getChar (byte[], int)","1.2 ms (0%)","1.1 ms (0.1%)","1.2 ms (0%)","1.1 ms (0%)","2,255"
"java.time.temporal.ValueRange.isValidValue (long)","0.935 ms (0%)","0.964 ms (0.1%)","0.935 ms (0%)","0.964 ms (0%)","1,465"
"java.util.LinkedHashMap.afterNodeInsertion (boolean)","0.875 ms (0%)","0.936 ms (0.1%)","1.31 ms (0%)","1.30 ms (0%)","1,021"
"java.util.LinkedHashMap.newNode (int, Object, Object, java.util.HashMap.Node)","0.882 ms (0%)","0.932 ms (0.1%)","1.29 ms (0%)","1.31 ms (0%)","1,021"
"java.lang.StringLatin1.compareTo (byte[], byte[])","0.955 ms (0%)","0.922 ms (0.1%)","4.14 ms (0%)","3.82 ms (0.1%)","998"
"java.lang.ClassLoader.getPlatformClassLoader ()","0.940 ms (0%)","0.899 ms (0.1%)","2.62 ms (0%)","2.48 ms (0%)","2,277"
"java.lang.StringConcatHelper.prepend (long, byte[], String)","1.1 ms (0%)","0.893 ms (0.1%)","27.1 ms (0.2%)","2.87 ms (0%)","2,505"
"java.time.Instant.create (long, int)","1.14 ms (0%)","0.892 ms (0.1%)","1.14 ms (0%)","0.892 ms (0%)","1,117"
"java.util.Collections$UnmodifiableCollection$1.hasNext ()","0.920 ms (0%)","0.881 ms (0.1%)","1.30 ms (0%)","1.23 ms (0%)","1,950"
"java.lang.Math.floorDiv (long, long)","0.894 ms (0%)","0.877 ms (0.1%)","0.894 ms (0%)","0.877 ms (0%)","1,591"
"java.lang.StringLatin1.indexOf (byte[], int, byte[], int, int)","0.897 ms (0%)","0.874 ms (0.1%)","0.897 ms (0%)","0.874 ms (0%)","2,047"
"java.lang.String.toLowerCase ()","0.936 ms (0%)","0.858 ms (0.1%)","3.50 ms (0%)","3.23 ms (0%)","1,254"
"org.springframework.samples.petclinic.owner.OwnerController.setAllowedFields (org.springframework.web.bind.WebDataBinder)","0.903 ms (0%)","0.854 ms (0.1%)","3.23 ms (0%)","3.7 ms (0%)","67"
"java.lang.StringLatin1.replace (byte[], char, char)","0.807 ms (0%)","0.850 ms (0.1%)","1.84 ms (0%)","1.78 ms (0%)","591"
"java.util.HashMap.keySet ()","0.859 ms (0%)","0.845 ms (0.1%)","0.859 ms (0%)","0.845 ms (0%)","2,516"
"java.util.ArrayList.toArray ()","0.857 ms (0%)","0.843 ms (0.1%)","3.8 ms (0%)","3.4 ms (0%)","726"
"jdk.internal.loader.URLClassPath.getResource (String, boolean)","0.849 ms (0%)","0.838 ms (0.1%)","614 ms (3.8%)","328 ms (4.7%)","90"
"java.lang.Class.getName ()","2.68 ms (0.1%)","0.837 ms (0.1%)","2.68 ms (0%)","0.837 ms (0%)","3,893"
"java.net.URL.lowerCaseProtocol (String)","0.865 ms (0%)","0.830 ms (0.1%)","28.6 ms (0.2%)","6.15 ms (0.1%)","1,213"
"java.lang.String.indexOf (byte[], byte, int, String, int)","0.872 ms (0%)","0.828 ms (0.1%)","1.93 ms (0%)","1.87 ms (0%)","1,147"
"java.util.Objects.requireNonNull (Object, String)","0.751 ms (0%)","0.820 ms (0.1%)","0.751 ms (0%)","0.820 ms (0%)","1,810"
"java.lang.String.indexOf (int)","0.875 ms (0%)","0.820 ms (0.1%)","5.6 ms (0%)","4.79 ms (0.1%)","2,915"
"java.util.HashMap.removeNode (int, Object, Object, boolean, boolean)","0.796 ms (0%)","0.793 ms (0.1%)","0.811 ms (0%)","0.805 ms (0%)","740"
"java.lang.String.indexOf (String)","0.765 ms (0%)","0.776 ms (0.1%)","1.95 ms (0%)","1.90 ms (0%)","1,151"
"org.springframework.samples.petclinic.owner.VisitController.setAllowedFields (org.springframework.web.bind.WebDataBinder)","0.843 ms (0%)","0.774 ms (0.1%)","3.92 ms (0%)","3.64 ms (0.1%)","44"
"java.lang.ref.ReferenceQueue.poll ()","0.687 ms (0%)","0.754 ms (0.1%)","1.7 ms (0%)","1.7 ms (0%)","1,002"
"java.lang.Math.floorMod (long, long)","0.765 ms (0%)","0.753 ms (0.1%)","0.765 ms (0%)","0.753 ms (0%)","1,416"
